% Pose logfile
% 1 	Time (sec)
% 2,3 	X, Y position (m)
% 4 	Heading in radians (m)
% 5 	Tilt angle, if calculated (rad)
1777025564.7501 0.000 0.000 0.0000 3.1295
1777025564.7552 0.000 0.000 0.0000 3.1295
1777025564.7633 0.000 0.000 0.0000 3.1295
1777025564.7646 0.000 0.000 0.0000 3.1295
1777025564.7692 0.000 0.000 0.0000 3.1295
1777025564.7747 0.000 0.000 0.0000 3.1295
1777025564.7793 0.000 0.000 0.0000 3.1295
1777025564.7852 0.000 0.000 0.0000 3.1295
1777025564.7897 0.000 0.000 0.0000 3.1295
1777025564.7945 0.000 0.000 0.0000 3.1295
1777025564.7999 0.000 0.000 0.0000 3.1295
1777025564.8046 0.000 0.000 0.0000 3.1295
1777025564.8101 0.000 0.000 0.0000 3.1295
1777025564.8146 0.000 0.000 0.0000 3.1295
1777025564.8202 0.000 0.000 0.0000 3.1295
1777025564.8249 0.000 0.000 0.0000 3.1295
1777025564.8294 0.000 0.000 0.0000 3.1295
1777025564.8349 0.000 0.000 0.0000 3.1295
1777025564.8395 0.000 0.000 0.0000 3.1295
1777025564.8456 0.000 0.000 0.0000 3.1295
1777025564.8501 0.000 0.000 0.0000 3.1295
1777025564.8550 0.000 0.000 0.0000 3.1295
1777025564.8604 0.000 0.000 0.0000 3.1295
1777025564.8651 0.000 0.000 0.0000 3.1295
1777025564.8705 0.000 0.000 0.0000 3.1295
1777025564.8752 0.000 0.000 0.0000 3.1295
1777025564.8797 0.000 0.000 0.0000 3.1294
1777025564.8858 0.000 0.000 0.0000 3.1294
1777025564.8906 0.000 0.000 0.0000 3.1295
1777025564.8951 0.000 0.000 0.0000 3.1295
1777025564.9007 0.000 0.000 0.0000 3.1295
1777025564.9053 0.000 0.000 0.0000 3.1295
1777025564.9107 0.000 0.000 0.0000 3.1295
1777025564.9154 0.000 0.000 0.0000 3.1295
1777025564.9198 0.000 0.000 0.0000 3.1295
1777025564.9255 0.000 0.000 0.0000 3.1295
1777025564.9299 0.000 0.000 0.0000 3.1295
1777025564.9355 0.000 0.000 0.0000 3.1295
1777025564.9399 0.000 0.000 0.0000 3.1295
1777025564.9456 0.000 0.000 0.0000 3.1295
1777025564.9501 0.000 0.000 0.0000 3.1295
1777025564.9548 0.000 0.000 0.0000 3.1295
1777025564.9605 0.000 0.000 0.0000 3.1295
1777025564.9651 0.000 0.000 0.0000 3.1295
1777025564.9706 0.000 0.000 0.0000 3.1295
1777025564.9753 0.000 0.000 0.0000 3.1295
1777025564.9807 0.000 0.000 0.0000 3.1295
1777025564.9867 0.000 0.000 0.0000 3.1295
1777025564.9901 0.000 0.000 0.0000 3.1295
1777025564.9958 0.000 0.000 0.0000 3.1295
1777025565.0003 0.000 0.000 0.0000 3.1295
1777025565.0048 0.000 0.000 0.0000 3.1295
1777025565.0105 0.000 0.000 0.0000 3.1295
1777025565.0157 0.000 0.000 0.0000 3.1295
1777025565.0203 0.000 0.000 0.0000 3.1295
1777025565.0273 0.000 0.000 0.0000 3.1294
1777025565.0306 0.000 0.000 0.0000 3.1294
1777025565.0353 0.000 0.000 0.0000 3.1294
1777025565.0398 0.000 0.000 0.0000 3.1295
1777025565.0458 0.000 0.000 0.0000 3.1295
1777025565.0504 0.000 0.000 0.0000 3.1295
1777025565.0555 0.000 0.000 0.0000 3.1295
1777025565.0601 0.000 0.000 0.0000 3.1295
1777025565.0650 0.000 0.000 0.0000 3.1294
1777025565.0701 0.000 0.000 0.0000 3.1295
1777025565.0748 0.000 0.000 0.0000 3.1295
1777025565.0805 0.000 0.000 0.0000 3.1295
1777025565.0851 0.000 0.000 0.0000 3.1295
1777025565.0898 0.000 0.000 0.0000 3.1295
1777025565.0958 0.000 0.000 0.0000 3.1295
1777025565.1001 0.000 0.000 0.0000 3.1295
1777025565.1048 0.000 0.000 0.0000 3.1295
1777025565.1102 0.000 0.000 0.0000 3.1295
1777025565.1148 0.000 0.000 0.0000 3.1295
1777025565.1200 0.000 0.000 0.0000 3.1295
1777025565.1254 0.000 0.000 0.0000 3.1295
1777025565.1300 0.000 0.000 0.0000 3.1295
1777025565.1356 0.000 0.000 0.0000 3.1295
1777025565.1401 0.000 0.000 0.0000 3.1295
1777025565.1458 0.000 0.000 0.0000 3.1295
1777025565.1502 0.000 0.000 0.0000 3.1295
1777025565.1559 0.000 0.000 0.0000 3.1295
1777025565.1603 0.000 0.000 0.0000 3.1295
1777025565.1650 0.000 0.000 0.0000 3.1295
1777025565.1705 0.000 0.000 0.0000 3.1295
1777025565.1751 0.000 0.000 0.0000 3.1295
1777025565.1805 0.000 0.000 0.0000 3.1295
1777025565.1852 0.000 0.000 0.0000 3.1295
1777025565.1900 0.000 0.000 0.0000 3.1295
1777025565.1957 0.000 0.000 0.0000 3.1295
1777025565.2003 0.000 0.000 0.0000 3.1295
1777025565.2058 0.000 0.000 0.0000 3.1295
1777025565.2103 0.000 0.000 0.0000 3.1295
1777025565.2149 0.000 0.000 0.0000 3.1295
1777025565.2200 0.000 0.000 0.0000 3.1295
1777025565.2259 0.000 0.000 0.0000 3.1295
1777025565.2303 0.000 0.000 0.0000 3.1295
1777025565.2360 0.000 0.000 0.0000 3.1295
1777025565.2405 0.000 0.000 0.0000 3.1295
1777025565.2451 0.000 0.000 0.0000 3.1295
1777025565.2508 0.000 0.000 0.0000 3.1295
1777025565.2558 0.000 0.000 0.0000 3.1295
1777025565.2604 0.000 0.000 0.0000 3.1295
1777025565.2651 0.000 0.000 0.0000 3.1295
1777025565.2705 0.000 0.000 0.0000 3.1295
1777025565.2752 0.000 0.000 0.0000 3.1295
