% teensy communication to/from Teensy
% 1 	Time (sec) from system
% 2 	(Tx) Send to Teensy
%   	(Rx) Received from Teensy
%   	(Qu N) Put in queue to Teensy, now queue size N
% 3 	Message string queued, send or received
1777025564.4275 ## Connection to USB open
1777025564.4326 Txd ;35alive
1777025564.4332 Txd ;28hbti
1777025564.4338 Txd ;31leave
1777025564.4344 Rx ;62# USB back up at 2127.678s; went off at 0.000s (since Teensy boot) as boot
1777025564.4345 Rx ;50hbt 2127.6790 105 1033 11.38 4 8 34.2 0.57 0
1777025564.4372 Qu 1 ;74!batcal 1.000000
1777025564.4381 Tx ;74!batcal 1.000000
1777025564.4392 Rx ;59# USB back up at 2127.684s; went off at 0.000s (since Teensy boot) as boot
1777025564.4394 Rx ;53# 2127.684 Unhandled message: batcal 1.000000
1777025564.4395 Rx ;64confirm !batcal 1.000000
1777025564.4451 Qu 1 ;24!disp #  10.197.218.199
1777025564.4477 Tx ;24!disp #  10.197.218.199
1777025564.4489 Rx ;14confirm !disp #  10.197.218.199
1777025564.4578 Qu 1 ;95!enc0
1777025564.4586 Tx ;95!enc0
1777025564.4597 Rx ;85confirm !enc0
1777025564.5379 Txd ;63leds 14 0 45 0
1777025564.7388 Txd ;57leds 14 0 30 0
1777025564.7394 Qu 1 ;81!sub svo 50
1777025564.7394 Qu 2 ;43!sub mca 33
1777025564.7394 Qu 3 ;53!sub ird 20
1777025564.7394 Qu 4 ;75!sub livn 10
1777025564.7394 Qu 5 ;29!sub pose 5
1777025564.7394 Qu 6 ;19!sub vel 8
1777025564.7394 Qu 7 ;64!encrev 0
1777025564.7394 Qu 8 ;85!sub gyro 12
1777025564.7394 Qu 9 ;30!sub acc 12
1777025564.7394 Qu 10 ;04!sub hbt 500
1777025564.7394 Qu 11 ;36!sub id 3000
1777025564.7394 Qu 12 ;74!sub mot 33
1777025564.7402 Tx ;81!sub svo 50
1777025564.7413 Rx ;71confirm !sub svo 50
1777025564.7414 Tx ;43!sub mca 33
1777025564.7414 Rx ;89svo 0 0 0  0 0 0  0 0 0  0 0 0  0 0 0
1777025564.7425 Rx ;33confirm !sub mca 33
1777025564.7426 Tx ;53!sub ird 20
1777025564.7426 Rx ;56mca 0.000 0.000 1063398
1777025564.7437 Rx ;43confirm !sub ird 20
