timestamp_s,state_machine,target_visible,target_time_s,meas_local_x_m,meas_local_z_m,meas_global_x_m,meas_global_z_m,kf_x_m,kf_z_m,kf_vx_mps,kf_vz_mps,future_global_x_m,future_global_z_m,blended_global_x_m,blended_global_z_m,drive_distance_m,drive_bearing_rad,real_distance_to_platform_m,linear_cmd_mps,angular_cmd_radps,robot_x_m,robot_z_m,robot_theta_rad,innovation_x_m,innovation_z_m,negative_velocity_flag
1778569020.446397,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778569020.498376,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778569020.551782,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778569020.606422,WAIT_HALF_SEC,1,1778569020.579354,0.043303,0.460258,0.043303,0.460258,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778569020.641579,WAIT_HALF_SEC,1,1778569020.579354,0.043303,0.460258,0.043303,0.460258,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778569020.677446,WAIT_HALF_SEC,1,1778569020.579354,0.043303,0.460258,0.043303,0.460258,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778569020.714368,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778569020.765275,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778569020.816268,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778569020.881042,WAIT_HALF_SEC,1,1778569020.852698,0.060082,0.452227,0.060082,0.452227,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778569020.915565,WAIT_HALF_SEC,1,1778569020.852698,0.060082,0.452227,0.060082,0.452227,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778569020.950526,WAIT_HALF_SEC,1,1778569020.852698,0.060082,0.452227,0.060082,0.452227,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778569020.986752,WAIT_HALF_SEC,1,1778569020.983061,0.067779,0.442566,0.067779,0.442566,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778569021.021986,WAIT_HALF_SEC,1,1778569020.983061,0.067779,0.442566,0.067779,0.442566,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778569021.057271,WAIT_HALF_SEC,1,1778569020.983061,0.067779,0.442566,0.067779,0.442566,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778569021.105661,WAIT_HALF_SEC,1,1778569020.983061,0.067779,0.442566,0.067779,0.442566,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778569021.142776,WAIT_HALF_SEC,1,1778569021.115980,0.078000,0.445650,0.078000,0.445650,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778569021.179046,WAIT_HALF_SEC,1,1778569021.115980,0.078000,0.445650,0.078000,0.445650,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778569021.216845,WAIT_HALF_SEC,1,1778569021.115980,0.078000,0.445650,0.078000,0.445650,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778569021.253171,WAIT_HALF_SEC,1,1778569021.252220,0.085465,0.437190,0.085465,0.437190,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778569021.291447,WAIT_HALF_SEC,1,1778569021.252220,0.085465,0.437190,0.085465,0.437190,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778569021.326642,WAIT_HALF_SEC,1,1778569021.252220,0.085465,0.437190,0.085465,0.437190,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778569021.365816,WAIT_HALF_SEC,1,1778569021.252220,0.085465,0.437190,0.085465,0.437190,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778569021.406268,TRACKING,1,1778569021.390956,0.093945,0.428714,0.093945,0.428714,0.093945,0.428714,0.062911,0.000000,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778569021.442404,TRACKING,1,1778569021.390956,0.093945,0.428714,0.093945,0.428714,0.094142,0.428714,0.062840,0.000000,0.156982,0.428714,0.150678,0.428714,0.765757,0.463444,0.438886,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002273,0.000000,0
1778569021.504644,TRACKING,1,1778569021.390956,0.093945,0.428714,0.103506,0.440876,0.101287,0.434655,0.064358,0.004072,0.165645,0.438727,0.159432,0.438942,0.767055,0.445129,0.438886,0.229727,0.347583,0.000309,0.014295,0.021634,0.005453,0.012163,0
1778569021.544908,TRACKING,0,,,,,,0.103879,0.434819,0.064358,0.004072,,,,,0.731276,0.371649,0.424025,0.230116,0.333847,0.000634,0.023555,0.035076,0.005453,0.012163,0
1778569021.579741,TRACKING,0,,,,,,0.106120,0.434961,0.064358,0.004072,,,,,0.725162,0.368433,0.417237,0.219383,0.278737,0.000976,0.031189,0.044785,0.005453,0.012163,0
1778569021.617966,TRACKING,0,,,,,,0.108581,0.435116,0.064358,0.004072,,,,,0.718522,0.364973,0.409876,0.217549,0.276325,0.001436,0.039492,0.055348,0.005453,0.012163,0
1778569021.653869,TRACKING,0,,,,,,0.110891,0.435263,0.064358,0.004072,,,,,0.712358,0.361801,0.403053,0.215556,0.273730,0.001940,0.047215,0.065175,0.005453,0.012163,0
1778569021.695825,TRACKING,0,,,,,,0.113591,0.435433,0.064358,0.004072,,,,,0.705231,0.358165,0.395178,0.213707,0.271351,0.002626,0.056154,0.076560,0.005453,0.012163,0
1778569021.732378,TRACKING,0,,,,,,0.115944,0.435582,0.064358,0.004072,,,,,0.699104,0.355085,0.388417,0.211569,0.268624,0.003293,0.063859,0.086379,0.005453,0.012163,0
1778569021.767120,TRACKING,0,,,,,,0.118180,0.435724,0.064358,0.004072,,,,,0.693346,0.352223,0.382075,0.209731,0.266314,0.003989,0.071112,0.095631,0.005453,0.012163,0
1778569021.804395,TRACKING,0,,,,,,0.120579,0.435876,0.064358,0.004072,,,,,0.687234,0.349215,0.375353,0.208004,0.264168,0.004805,0.078823,0.105478,0.005453,0.012163,0
1778569021.839960,TRACKING,0,,,,,,0.122868,0.436020,0.064358,0.004072,,,,,0.681471,0.346412,0.369027,0.206170,0.261911,0.005645,0.086107,0.114793,0.005453,0.012163,0
1778569021.877703,TRACKING,0,,,,,,0.125297,0.436174,0.064358,0.004072,,,,,0.675423,0.343498,0.362399,0.204441,0.259809,0.006604,0.093763,0.124599,0.005453,0.012163,0
1778569021.913255,TRACKING,0,,,,,,0.127585,0.436319,0.064358,0.004072,,,,,0.669793,0.340820,0.356242,0.202627,0.257624,0.007565,0.100903,0.133758,0.005453,0.012163,0
1778569021.948135,TRACKING,0,,,,,,0.129830,0.436461,0.064358,0.004072,,,,,0.664333,0.338249,0.350282,0.200938,0.255615,0.008562,0.107840,0.142674,0.005453,0.012163,0
1778569021.983033,TRACKING,0,,,,,,0.132076,0.436603,0.064358,0.004072,,,,,0.658930,0.335733,0.344396,0.199300,0.253687,0.009611,0.114716,0.151527,0.005453,0.012163,0
