% Pose logfile
% 1 	Time (sec)
% 2,3 	X, Y position (m)
% 4 	Heading in radians (m)
% 5 	Tilt angle, if calculated (rad)
1770712398.7718 0.000 0.000 0.0000 -3.0677
1770712398.7774 0.000 0.000 0.0000 -3.0677
1770712398.7826 0.000 0.000 0.0000 -3.0677
1770712398.7873 0.000 0.000 0.0000 -3.0677
1770712398.7917 0.000 0.000 0.0000 -3.0677
1770712398.7968 0.000 0.000 0.0000 -3.0677
1770712398.8023 0.000 0.000 0.0000 -3.0677
1770712398.8074 0.000 0.000 0.0000 -3.0677
1770712398.8121 0.000 0.000 0.0000 -3.0677
1770712398.8171 0.000 0.000 0.0000 -3.0676
1770712398.8219 0.000 0.000 0.0000 -3.0676
1770712398.8269 0.000 0.000 0.0000 -3.0677
1770712398.8318 0.000 0.000 0.0000 -3.0676
1770712398.8377 0.000 0.000 0.0000 -3.0676
1770712398.8424 0.000 0.000 0.0000 -3.0676
1770712398.8475 0.000 0.000 0.0000 -3.0676
1770712398.8522 0.000 0.000 0.0000 -3.0676
1770712398.8572 0.000 0.000 0.0000 -3.0676
1770712398.8620 0.000 0.000 0.0000 -3.0677
1770712398.8672 0.000 0.000 0.0000 -3.0676
1770712398.8718 0.000 0.000 0.0000 -3.0676
1770712398.8779 0.000 0.000 0.0000 -3.0676
1770712398.8831 0.000 0.000 0.0000 -3.0676
1770712398.8876 0.000 0.000 0.0000 -3.0676
1770712398.8926 0.000 0.000 0.0000 -3.0676
1770712398.8991 0.000 0.000 0.0000 -3.0676
1770712398.9029 0.000 0.000 0.0000 -3.0676
1770712398.9079 0.000 0.000 0.0000 -3.0676
1770712398.9126 0.000 0.000 0.0000 -3.0676
1770712398.9175 0.000 0.000 0.0000 -3.0676
1770712398.9224 0.000 0.000 0.0000 -3.0676
1770712398.9274 0.000 0.000 0.0000 -3.0676
1770712398.9333 0.000 0.000 0.0000 -3.0676
1770712398.9383 0.000 0.000 0.0000 -3.0676
1770712398.9428 0.000 0.000 0.0000 -3.0676
1770712398.9478 0.000 0.000 0.0000 -3.0676
1770712398.9525 0.000 0.000 0.0000 -3.0676
1770712398.9577 0.000 0.000 0.0000 -3.0676
1770712398.9630 0.000 0.000 0.0000 -3.0676
1770712398.9681 0.000 0.000 0.0000 -3.0676
1770712398.9728 0.000 0.000 0.0000 -3.0676
1770712398.9775 0.000 0.000 0.0000 -3.0676
1770712398.9833 0.000 0.000 0.0000 -3.0676
1770712398.9878 0.000 0.000 0.0000 -3.0677
1770712398.9924 0.000 0.000 0.0000 -3.0677
1770712398.9980 0.000 0.000 0.0000 -3.0677
1770712399.0028 0.000 0.000 0.0000 -3.0677
1770712399.0078 0.000 0.000 0.0000 -3.0676
1770712399.0132 0.000 0.000 0.0000 -3.0676
1770712399.0181 0.000 0.000 0.0000 -3.0676
1770712399.0225 0.000 0.000 0.0000 -3.0677
1770712399.0276 0.000 0.000 0.0000 -3.0677
1770712399.0328 0.000 0.000 0.0000 -3.0677
1770712399.0378 0.000 0.000 0.0000 -3.0677
1770712399.0426 0.000 0.000 0.0000 -3.0677
1770712399.0482 0.000 0.000 0.0000 -3.0677
1770712399.0531 0.000 0.000 0.0000 -3.0677
1770712399.0575 0.000 0.000 0.0000 -3.0677
1770712399.0634 0.000 0.000 0.0000 -3.0677
1770712399.0675 0.000 0.000 0.0000 -3.0677
1770712399.0730 0.000 0.000 0.0000 -3.0677
1770712399.0783 0.000 0.000 0.0000 -3.0677
1770712399.0830 0.000 0.000 0.0000 -3.0677
1770712399.0878 0.000 0.000 0.0000 -3.0677
1770712399.0933 0.000 0.000 0.0000 -3.0677
1770712399.0981 0.000 0.000 0.0000 -3.0677
1770712399.1032 0.000 0.000 0.0000 -3.0677
1770712399.1083 0.000 0.000 0.0000 -3.0677
1770712399.1134 0.000 0.000 0.0000 -3.0677
1770712399.1180 0.000 0.000 0.0000 -3.0677
1770712399.1232 0.000 0.000 0.0000 -3.0677
1770712399.1281 0.000 0.000 0.0000 -3.0677
1770712399.1326 0.000 0.000 0.0000 -3.0677
1770712399.1374 0.000 0.000 0.0000 -3.0677
1770712399.1431 0.000 0.000 0.0000 -3.0677
1770712399.1476 0.000 0.000 0.0000 -3.0677
1770712399.1538 0.000 0.000 0.0000 -3.0677
1770712399.1581 0.000 0.000 0.0000 -3.0677
1770712399.1629 0.000 0.000 0.0000 -3.0677
1770712399.1681 0.000 0.000 0.0000 -3.0677
1770712399.1731 0.000 0.000 0.0000 -3.0677
1770712399.1776 0.000 0.000 0.0000 -3.0676
1770712399.1830 0.000 0.000 0.0000 -3.0677
1770712399.1880 0.000 0.000 0.0000 -3.0677
1770712399.1925 0.000 0.000 0.0000 -3.0677
1770712399.1982 0.000 0.000 0.0000 -3.0677
1770712399.2025 0.000 0.000 0.0000 -3.0677
1770712399.2075 0.000 0.000 0.0000 -3.0677
1770712399.2132 0.000 0.000 0.0000 -3.0677
1770712399.2180 0.000 0.000 0.0000 -3.0677
1770712399.2231 0.000 0.000 0.0000 -3.0677
1770712399.2275 0.000 0.000 0.0000 -3.0677
1770712399.2335 0.000 0.000 0.0000 -3.0677
1770712399.2378 0.000 0.000 0.0000 -3.0677
1770712399.2432 0.000 0.000 0.0000 -3.0677
1770712399.2482 0.000 0.000 0.0000 -3.0677
1770712399.2526 0.000 0.000 0.0000 -3.0677
1770712399.2577 0.000 0.000 0.0000 -3.0677
1770712399.2634 0.000 0.000 0.0000 -3.0677
1770712399.2675 0.000 0.000 0.0000 -3.0677
1770712399.2731 0.000 0.000 0.0000 -3.0677
1770712399.2775 0.000 0.000 0.0000 -3.0677
1770712399.2827 0.000 0.000 0.0000 -3.0677
1770712399.2881 0.000 0.000 0.0000 -3.0677
1770712399.2930 0.000 0.000 0.0000 -3.0677
1770712399.2985 0.000 0.000 0.0000 -3.0677
1770712399.3034 0.000 0.000 0.0000 -3.0677
1770712399.3080 0.000 0.000 0.0000 -3.0677
1770712399.3135 0.000 0.000 0.0000 -3.0677
1770712399.3178 0.000 0.000 0.0000 -3.0677
1770712399.3235 0.000 0.000 0.0000 -3.0677
1770712399.3285 0.000 0.000 0.0000 -3.0677
1770712399.3331 0.000 0.000 0.0000 -3.0677
1770712399.3379 0.000 0.000 0.0000 -3.0677
1770712399.3432 0.000 0.000 0.0000 -3.0677
1770712399.3478 0.000 0.000 0.0000 -3.0677
